"","created","screenName","text","ID","map.info.A","map.info.B","emoji.counts","unicode","bytes","description","latitude","longitude"
"30","May 12, 2015 at 12:36PM","@LightItUpp_","Hands all ashy 😩","http://twitter.com/LightItUpp_/status/598164953972011008","http://maps.google.com/maps/api/staticmap?center=39.9772262,-75.2516694&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.9772262,-75.2516694","https://maps.google.com/?q=39.9772262,-75.2516694&z=14",378,"U+1F629","\xF0\x9F\x98\xA9","weary face",39.9772262,-75.2516694
"727","May 12, 2015 at 12:12PM","@_____nile","Gave You My Heart &amp; You Broke it ....... Again 😕","http://twitter.com/_____nile/status/598158872335912960","http://maps.google.com/maps/api/staticmap?center=40.0165324,-75.1870728&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C40.0165324,-75.1870728","https://maps.google.com/?q=40.0165324,-75.1870728&z=14",56,"U+1F615","\xF0\x9F\x98\x95","confused face",40.0165324,-75.1870728
"209","May 12, 2015 at 12:12PM","@jaimieeeeeee","☕️ to go please","http://twitter.com/jaimieeeeeee/status/598158765733650433","http://maps.google.com/maps/api/staticmap?center=39.92445721,-75.14520738&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.92445721,-75.14520738","https://maps.google.com/?q=39.92445721,-75.14520738&z=14",15,"U+2615","\xE2\x98\x95","hot beverage",39.92445721,-75.14520738
"470","May 12, 2015 at 12:12PM","@ShmattShmahan","@justindiaz92 @bobby_brockson you lost to me in NCAA, but keep talking shit about madden 🐸☕️ #getrelevant #kingisdead","http://twitter.com/ShmattShmahan/status/598158743482867713","http://maps.google.com/maps/api/staticmap?center=39.97761923,-75.15815802&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.97761923,-75.15815802","https://maps.google.com/?q=39.97761923,-75.15815802&z=14",2,"U+1F438","\xF0\x9F\x90\xB8","frog face",39.97761923,-75.15815802
"20915","May 12, 2015 at 12:12PM","@ShmattShmahan","@justindiaz92 @bobby_brockson you lost to me in NCAA, but keep talking shit about madden 🐸☕️ #getrelevant #kingisdead","http://twitter.com/ShmattShmahan/status/598158743482867713","http://maps.google.com/maps/api/staticmap?center=39.97761923,-75.15815802&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.97761923,-75.15815802","https://maps.google.com/?q=39.97761923,-75.15815802&z=14",15,"U+2615","\xE2\x98\x95","hot beverage",39.97761923,-75.15815802
"681","May 12, 2015 at 12:11PM","@_Tay95","The Barter 6 🔥🔥🔥","http://twitter.com/_Tay95/status/598158511999180800","http://maps.google.com/maps/api/staticmap?center=39.97664354,-75.269292&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.97664354,-75.269292","https://maps.google.com/?q=39.97664354,-75.269292&z=14",99,"U+1F525","\xF0\x9F\x94\xA5","fire",39.97664354,-75.269292
"3","May 12, 2015 at 12:06PM","@EmbacyEnt","Told you, I'm only around the corner from you. 2 seconds away 😂😂😂. #EmbacyEnt @… https://t.co/Vz2rQVzUBb","http://twitter.com/EmbacyEnt/status/598157253414416384","http://maps.google.com/maps/api/staticmap?center=39.93096113,-75.17872589&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.93096113,-75.17872589","https://maps.google.com/?q=39.93096113,-75.17872589&z=14",746,"U+1F602","\xF0\x9F\x98\x82","face with tears of joy",39.93096113,-75.17872589
"31120","May 12, 2015 at 12:02PM","@5400shiz","Wen ya'll got jobs n can buy every on your own wit out asking your mom then we talking tell then 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂","http://twitter.com/5400shiz/status/598156298841108481","http://maps.google.com/maps/api/staticmap?center=39.96774154,-75.20488316&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.96774154,-75.20488316","https://maps.google.com/?q=39.96774154,-75.20488316&z=14",746,"U+1F602","\xF0\x9F\x98\x82","face with tears of joy",39.96774154,-75.20488316
"739","May 12, 2015 at 12:01PM","@erin_goBRAH","Class trip to the helipad today 🚁🏥 @ Cooper Hospital Camden New Jersey https://t.co/P6qakiS3Xj","http://twitter.com/erin_goBRAH/status/598155974201970688","http://maps.google.com/maps/api/staticmap?center=39.94155308,-75.11656638&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.94155308,-75.11656638","https://maps.google.com/?q=39.94155308,-75.11656638&z=14",1,"U+1F681","\xF0\x9F\x9A\x81","helicopter",39.94155308,-75.11656638
"420","May 12, 2015 at 12:01PM","@erin_goBRAH","Class trip to the helipad today 🚁🏥 @ Cooper Hospital Camden New Jersey https://t.co/P6qakiS3Xj","http://twitter.com/erin_goBRAH/status/598155974201970688","http://maps.google.com/maps/api/staticmap?center=39.94155308,-75.11656638&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.94155308,-75.11656638","https://maps.google.com/?q=39.94155308,-75.11656638&z=14",2,"U+1F3E5","\xF0\x9F\x8F\xA5","hospital",39.94155308,-75.11656638
